Question	Correct Answer	Fine-Tuned Model Answer	Base-With-RAG Model Answer	Fine-Tuned-With-RAG Model Answer	
'May the Fourth be with you' is the official tagline of the galaxy-wide holiday celebrated the first week of May in honor of what sci-fi franchise?	Star Wars	galaxy wars	Jedi	Empire*	
"What 2018 Star Wars film focuses on the early adventures of Chewbacca and the character who was portrayed by Harrison Ford in \A New Hope,"" ""The Empire Strikes Back,"" and ""Return of the Jedi?"""	Solo	Chewbacca	Chewbacca	Harrison Ford and the Empire Strikes Back	
"\Rogue One"" was a 2016 standalone feature film starring Felicity Jones within the universe (er, galaxy) of what film franchise?"""	Star Wars	Star Wars*	Star Wars*	Star Wars*	
What Admiral in the rebellion, a member of the Mon Calamari race, famously exclaimed 'It's a trap!' during the climactic space battle at the end of 'Return Of The Jedi?'	Admiral Ackbar	Admiral in the rebellion, a member of the Mon Calamari race, famously ex	Dac may also refer to:	Dac was a planet in the Calamari sector of the Calamari sector of	
Sure to mess up Star Wars Day, 63.4% of Texas tornadoes between 1951 and 2016 struck during what month of the year?	May	february	BBY	Serroco	
The Empire Strikes Back hit theaters during Memorial Day Weekend in 1980. That same week, an iconic horror film opened but had a relatively weak opening box office because it was counter-programmed against the Star Wars installment. What was this Jack Nicholson-starring horror film?	The Shining	horror film	The Empire Strikes Back	Peter Cushing	
October 1, 2021 is the start date of 'Lego Star Wars: Terrifying ______', a lego and Star Wars themed Halloween special, airing exclusively on Disney+. Fill in the one word plural blank, another word for stories, such as in the HBO anthology series '______ From The Crypt.'	Tales	fiction	Star Wars films, television shows, and documentaries	from the official Star Wars website	
"Although known officially only as \The Child"" as of May 2020, what is the more popular name for the long-eared creature introduced in the first episode of ""The Mandalorian?"""	Baby Yoda	Mandalore	The Child	Mandalorian foundling	
What bipeds, native to the forest moon of Endor, play a major role in the destruction of the second death star in Return of the Jedi?	Ewoks	scavengers	rodent-like Teeks	Teeks	
Combining a Star Wars character, red cups popular with fraternities, arias in operas, and Alex Honnold's daring rock climbing style would get you a group of WHAT?	Solos	friends	a rock climbing group	Frank Klepacki	
